| HTTP | Route | Controller@Method | STATUS |
|---|---|---|---|
| POST | /auth/login | AuthController@login | MISMATCH |
| POST | /auth/logout | AuthController@logout | UNVERIFIED |
| GET | /auth/me | AuthController@me | UNVERIFIED |
| GET | /products | ProductController@index | PASS |
| GET | /products/{product} | ProductController@show | PASS |
| POST | /products | ProductController@store | PASS |
| PUT | /products/{product} | ProductController@update | PASS |
| DELETE | /products/{product} | ProductController@destroy | PASS |
| GET | /categories | CategoryController@index | PASS |
| POST | /categories | CategoryController@store | PASS |
| GET | /categories/{category} | CategoryController@show | PASS |
| PUT | /categories/{category} | CategoryController@update | PASS |
| DELETE | /categories/{category} | CategoryController@destroy | PASS |
| GET | /salesmen | RouteController@getSalesmen | UNVERIFIED |
| GET | /routes | RouteController@index | UNVERIFIED |
| GET | /routes/{route} | RouteController@show | UNVERIFIED |
| POST | /routes | RouteController@store | UNVERIFIED |
| PUT | /routes/{route} | RouteController@update | UNVERIFIED |
| DELETE | /routes/{route} | RouteController@destroy | UNVERIFIED |
| POST | /routes/{route}/assign-salesman | RouteController@assignSalesman | UNVERIFIED |
| DELETE | /routes/{route}/remove-salesman/{salesmanId} | RouteController@removeSalesman | UNVERIFIED |
| GET | /routes/{route}/customers | RouteController@customers | UNVERIFIED |
| POST | /routes/{route}/reorder-customers | RouteController@reorderCustomers | UNVERIFIED |
| POST | /routes/{route}/assign-customers | RouteController@assignCustomers | UNVERIFIED |
| GET | /suppliers | SupplierController@index | UNVERIFIED |
| GET | /suppliers/{id} | SupplierController@show | UNVERIFIED |
| POST | /suppliers | SupplierController@store | UNVERIFIED |
| PUT | /suppliers/{id} | SupplierController@update | UNVERIFIED |
| DELETE | /suppliers/{id} | SupplierController@destroy | UNVERIFIED |
| POST | /suppliers/{id}/pay | SupplierController@pay | UNVERIFIED |
| GET | /suppliers/{id}/ledger | SupplierController@ledger | UNVERIFIED |
| GET | /suppliers/{id}/reconcile | SupplierController@reconcile | UNVERIFIED |
| GET | /customers | CustomerController@index | UNVERIFIED |
| GET | /customers/{customer} | CustomerController@show | UNVERIFIED |
| POST | /customers | CustomerController@store | UNVERIFIED |
| PUT | /customers/{customer} | CustomerController@update | UNVERIFIED |
| DELETE | /customers/{customer} | CustomerController@destroy | UNVERIFIED |
| GET | /customers/{customer}/reconcile | CustomerController@reconcile | UNVERIFIED |
| GET | /orders | SalesOrderController@index | UNVERIFIED |
| POST | /orders | SalesOrderController@store | MISMATCH |
| PUT | /orders/{id} | SalesOrderController@update | UNVERIFIED |
| GET | /orders/{id} | SalesOrderController@show | UNVERIFIED |
| POST | /orders/{id}/status | SalesOrderController@updateStatus | MISMATCH |
| GET | /warehouses | WarehouseController@index | UNVERIFIED |
| POST | /warehouses/{warehouseId}/stock/{productId}/adjust | WarehouseController@adjustStock | UNVERIFIED |
| GET | /warehouses/{warehouseId}/stock/{productId}/reconcile | WarehouseController@reconcileStock | UNVERIFIED |
| GET | /warehouse/orders-to-pack | WarehouseController@ordersToPack | UNVERIFIED |
| POST | /warehouse/pack-item | WarehouseController@packItem | UNVERIFIED |
| POST | /warehouse/mark-ready | WarehouseController@markReady | UNVERIFIED |
| GET | /warehouse/stock | WarehouseController@stockList | UNVERIFIED |
| GET | /warehouse/transactions | WarehouseController@transactions | MISMATCH |
| POST | /payments | PaymentController@store | UNVERIFIED |
| GET | /sales-returns | SalesReturnController@index | MISMATCH |
| GET | /sales-returns/{id} | SalesReturnController@show | MISMATCH |
| POST | /sales-returns | SalesReturnController@store | MISMATCH |
| GET | /stock-transfers | StockTransferController@index | UNVERIFIED |
| GET | /stock-transfers/{id} | StockTransferController@show | UNVERIFIED |
| POST | /stock-transfers | StockTransferController@store | UNVERIFIED |
| POST | /stock-transfers/{id}/complete | StockTransferController@complete | UNVERIFIED |
| GET | /delivery-trips | DeliveryTripController@index | UNVERIFIED |
| GET | /delivery-trips/{id} | DeliveryTripController@show | UNVERIFIED |
| POST | /delivery-trips | DeliveryTripController@store | UNVERIFIED |
| POST | /delivery-trips/orders/{tripOrderId}/deliver | DeliveryTripController@deliverOrder | UNVERIFIED |
| POST | /delivery-trips/orders/{tripOrderId}/fail | DeliveryTripController@failOrder | UNVERIFIED |
| GET | /commissions | CommissionController@index | UNVERIFIED |
| GET | /commissions/summary | CommissionController@summary | UNVERIFIED |
| GET | /commissions/preview | CommissionController@preview | UNVERIFIED |
| GET | /commissions/my-commissions | CommissionController@myCommissions | UNVERIFIED |
| GET | /commissions/{id} | CommissionController@show | UNVERIFIED |
| POST | /commissions/calculate | CommissionController@calculate | UNVERIFIED |
| POST | /commissions/{id}/approve | CommissionController@approve | UNVERIFIED |
| POST | /commissions/{id}/pay | CommissionController@pay | UNVERIFIED |
| POST | /commissions/{id}/cancel | CommissionController@cancel | UNVERIFIED |
| GET | /purchase-orders | PurchaseOrderController@index | UNVERIFIED |
